City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sigli,5.3848,95.9609,77.79,82,92,3.58,ID,1675878339
1,bafia,4.75,11.2333,83.91,17,47,3.62,CM,1675878339
2,cape town,-33.9258,18.4232,76.1,63,0,17.27,ZA,1675878280
3,ribeira grande,38.5167,-28.7,58.77,54,40,8.05,PT,1675878340
4,atuona,-9.8,-139.0333,79.12,80,18,18.97,PF,1675878340
5,bay roberts,47.5999,-53.2648,35.15,87,100,8.01,CA,1675878341
6,vaini,-21.2,-175.2,77.16,94,75,5.75,TO,1675878341
7,mataura,-46.1927,168.8643,49.48,94,89,7.56,NZ,1675878341
8,busselton,-33.65,115.3333,59.72,88,0,11.34,AU,1675878342
9,victoria,22.2855,114.1577,66.38,88,100,15.01,HK,1675878127
10,cabanas,22.9758,-82.9219,83.01,53,1,15.35,CU,1675878342
11,ponta do sol,32.6667,-17.1,63.23,68,76,6.64,PT,1675878343
12,atambua,-9.1061,124.8925,72.12,96,99,1.88,ID,1675878343
13,cidreira,-30.1811,-50.2056,80.31,70,1,14.16,BR,1675878343
14,geraldton,-28.7667,114.6,72.01,78,0,13.8,AU,1675878127
15,saskylakh,71.9167,114.0833,-34.46,99,95,5.68,RU,1675878344
16,bluff,-46.6,168.3333,49.8,69,72,22.75,NZ,1675878344
17,kodiak,57.79,-152.4072,17.11,73,0,0.0,US,1675878345
18,inverness,57.4791,-4.224,48.11,89,100,32.21,GB,1675878346
19,necochea,-38.5473,-58.7368,78.49,54,10,14.16,AR,1675878346
20,albany,42.6001,-73.9662,44.64,56,55,3.0,US,1675877790
21,rikitea,-23.1203,-134.9692,79.25,75,5,14.07,PF,1675878347
22,ada,43.4166,-116.1262,37.33,60,0,15.99,US,1675878348
23,vostok,46.4856,135.8833,-11.58,99,65,4.54,RU,1675878348
24,pemberton,50.3164,-122.8027,33.49,92,76,0.51,CA,1675878348
25,pacific grove,36.6177,-121.9166,59.09,61,0,13.0,US,1675878349
26,hermanus,-34.4187,19.2345,73.8,65,0,20.02,ZA,1675878349
27,shaki,41.0833,47.1667,35.42,96,100,4.59,AZ,1675878349
28,iqaluit,63.7506,-68.5145,-13.27,64,75,8.05,CA,1675878350
29,castro,-24.7911,-50.0119,79.43,49,15,5.26,BR,1675878350
30,inirida,3.8653,-67.9239,82.26,74,83,0.81,CO,1675878351
31,barrow,71.2906,-156.7887,-16.58,69,100,0.0,US,1675878210
32,kapaa,22.0752,-159.319,73.72,82,40,18.41,US,1675878351
33,new norfolk,-42.7826,147.0587,56.7,94,100,1.92,AU,1675878352
34,hami,42.8,93.45,31.91,63,8,6.91,CN,1675878100
35,chake chake,-5.2459,39.7666,79.59,79,69,9.08,TZ,1675878353
36,kaitangata,-46.2817,169.8464,48.02,74,52,13.2,NZ,1675878353
37,tahta,26.7693,31.5021,56.37,37,100,6.96,EG,1675878353
38,qaanaaq,77.484,-69.3632,-26.41,68,16,6.24,GL,1675878354
39,hilo,19.7297,-155.09,69.94,93,75,4.61,US,1675877779
40,ushuaia,-54.8,-68.3,69.46,43,75,8.05,AR,1675878327
41,nikolskoye,59.7035,30.7861,33.8,93,100,7.38,RU,1675878354
42,guozhen,34.3659,107.359,39.09,98,100,1.48,CN,1675878355
43,yar-sale,66.8333,70.8333,13.14,95,99,12.21,RU,1675878355
44,faanui,-16.4833,-151.75,80.31,75,24,10.65,PF,1675878355
45,prigorodka,52.0447,39.7124,15.8,96,21,4.99,RU,1675878356
46,port elizabeth,-33.918,25.5701,71.1,76,0,5.75,ZA,1675878357
47,porto walter,-8.2686,-72.7439,88.14,52,49,3.42,BR,1675878357
48,srednekolymsk,67.45,153.6833,-26.64,97,100,6.15,RU,1675878357
49,cherskiy,68.75,161.3,-24.12,98,100,7.67,RU,1675878358
50,omurtag,43.1,26.4167,20.41,94,100,7.47,BG,1675878358
51,alyangula,-13.8483,136.4192,83.25,75,90,8.21,AU,1675878359
52,miyako,39.6367,141.9525,28.27,71,14,7.56,JP,1675878359
53,tasiilaq,65.6145,-37.6368,3.36,54,0,10.4,GL,1675878360
54,xinqing,48.2333,129.5,-16.42,100,57,2.04,CN,1675878360
55,pamanukan,-6.2842,107.8106,77.45,78,100,6.89,ID,1675878360
56,port alfred,-33.5906,26.891,71.19,85,98,8.14,ZA,1675878361
57,amapa,1.0,-52.0,78.19,93,99,4.05,BR,1675878361
58,georgetown,5.4112,100.3354,80.53,94,20,2.3,MY,1675878232
59,hobart,-42.8794,147.3294,57.06,81,100,4.61,AU,1675878258
60,bathsheba,13.2167,-59.5167,84.81,61,20,20.71,BB,1675878362
